Time,NO2 (ppb),O3 (ppb),PM2.5 (µg/m³),TEMP (°C),RH (%),DP (°C),Inlet
2/5/2020 15:00,28.3,0,1.4,19.41,12.5,-10.2,Sample
2/5/2020 15:01,23.5,6.5,1.3,19.49,12.8,-9.9,Sample
2/5/2020 15:02,8.1,24.8,1.5,19.78,12.8,-9.7,Sample
2/5/2020 15:03,14,22.7,1.7,19.9,12.7,-9.6,Sample
2/5/2020 15:05,30,0,1.3,19.39,12,-10.8,Sample
2/5/2020 15:06,17.7,15.1,1.5,18.67,11.8,-11.6,Sample
2/5/2020 15:07,11.4,26,1.3,18.26,12.3,-11.3,Sample
2/5/2020 15:08,21.8,24.9,1.4,18.31,12.6,-11.1,Sample
2/5/2020 15:09,26.4,24.2,1.3,18.71,12.5,-10.8,Sample
2/5/2020 15:10,26.3,24.5,1.1,19.06,12.6,-10.5,Sample
2/5/2020 15:11,31.3,20.1,1.1,18.93,11.8,-11.3,Sample
2/5/2020 15:12,29.7,23.3,1.2,18.93,12.6,-10.5,Sample
2/5/2020 15:13,30.1,23.8,1.3,19.18,12.9,-10,Sample
2/5/2020 15:14,29.8,23.2,1.2,19.27,12.6,-10.3,Sample
2/5/2020 15:15,28.4,24,1.1,19.35,13.3,-9.6,Sample
2/5/2020 15:16,31.9,21.7,1.3,19.68,13.7,-8.9,Sample
2/5/2020 15:17,26.9,25,1.3,19.84,12.6,-9.9,Sample
2/5/2020 15:18,21.7,28.6,1.1,19.66,12.5,-10.1,Sample
2/5/2020 15:19,20.8,30.5,1.2,19.69,14.2,-8.4,Sample
2/5/2020 15:20,28.8,23.6,1.2,19.7,13.7,-8.9,Sample
2/5/2020 15:21,23.1,28,1.2,19.66,13.6,-9,Sample
2/5/2020 15:22,25.8,25.5,1.3,19.44,13.3,-9.5,Sample
2/5/2020 15:23,24.9,25.2,2,19.42,13.2,-9.6,Sample
2/5/2020 15:24,26.7,24.3,1.5,19.57,13.8,-8.9,Sample
2/5/2020 15:25,37.1,15.2,1.4,19.53,15.4,-7.5,Sample
2/5/2020 15:26,33.9,17.8,1.4,19.3,14.2,-8.7,Sample
2/5/2020 15:27,23.9,26.7,1.5,19.1,14.2,-8.9,Sample
2/5/2020 15:28,21.9,27.9,1.5,18.93,14.8,-8.5,Sample
2/5/2020 15:29,30.3,23.2,1.4,19.08,15.9,-7.5,Sample
2/5/2020 15:30,32,21,1.5,19.28,15.4,-7.7,Sample
2/5/2020 15:31,28.5,23.4,1.3,19.39,15.2,-7.8,Sample
2/5/2020 15:32,21.8,27.6,1.5,19.38,13.8,-9,Sample
2/5/2020 15:33,18.2,30.5,1.3,19.4,13.4,-9.4,Sample
2/5/2020 15:34,20.5,29.1,1.5,19.42,13.1,-9.6,Sample
2/5/2020 15:35,19.8,30.8,1.3,19.63,13.5,-9.1,Sample
2/5/2020 15:36,21.7,28.1,1.4,19.98,13.2,-9.2,Sample
2/5/2020 15:37,22.1,29.2,1.6,20.14,13.4,-8.8,Sample
2/5/2020 15:38,23.5,29,1.4,20.35,14.4,-7.7,Sample
2/5/2020 15:39,24.1,28.8,1.4,20.68,14.2,-7.6,Sample
2/5/2020 15:40,23.3,28.5,1.4,20.62,13.7,-8.1,Sample
2/5/2020 15:41,23.2,28,1.4,20.5,13.4,-8.5,Sample
2/5/2020 15:42,22,29.5,1.3,20.13,13,-9.2,Sample
2/5/2020 15:43,22.7,29.2,1.4,19.76,13.2,-9.3,Sample
2/5/2020 15:44,23,28.1,1.3,19.8,13,-9.5,Sample
2/5/2020 15:45,23,29.3,1.4,19.92,13,-9.4,Sample
2/5/2020 15:46,22.8,30,1.3,20.23,13.3,-8.8,Sample
2/5/2020 15:47,20.3,32.5,1.4,20.25,13.2,-8.9,Sample
2/5/2020 15:49,,,1.4,19.7,13.3,-9.2,Sample
2/5/2020 15:50,33.7,2.8,1.4,19.7,13.1,-9.4,Sample
2/5/2020 15:51,5,33.4,1.3,19.7,13.3,-9.3,Sample
2/5/2020 15:52,14.3,30.2,1.3,19.7,13.5,-9.1,Sample
2/5/2020 15:53,20.9,29.1,1.3,19.74,13.7,-8.8,Sample
2/5/2020 15:54,21.3,30,1.3,19.7,13.6,-9,Sample
2/5/2020 15:55,20.5,30.6,1.4,19.51,13.4,-9.3,Sample
2/5/2020 15:56,20.9,30.4,1.3,19.49,13.4,-9.3,Sample
2/5/2020 15:57,20.5,30.9,1.2,19.33,13.5,-9.4,Sample
2/5/2020 15:58,21,30.9,1.3,19.16,13.7,-9.3,Sample
2/5/2020 15:59,22.4,30,1.4,19.1,13.9,-9.2,Sample
2/5/2020 16:00,23.3,29,1.4,19.1,13.9,-9.1,Sample
2/5/2020 16:01,21,30.7,1.4,18.94,13.6,-9.6,Sample
2/5/2020 16:02,20.4,31,1.4,18.68,13.1,-10.2,Sample
2/5/2020 16:03,20.4,31.2,1.4,18.46,13.5,-10,Sample
2/5/2020 16:04,22.1,30,1.3,18.4,13.9,-9.7,Sample
2/5/2020 16:05,21.8,30.2,1.4,18.34,13.7,-10,Sample
2/5/2020 16:06,21.3,30.3,1.2,18.21,13.5,-10.3,Sample
2/5/2020 16:07,20.9,30.8,1.4,18.19,13.7,-10.1,Sample
2/5/2020 16:08,21.2,30.6,1.3,18.03,13.7,-10.2,Sample
2/5/2020 16:09,20.6,30.8,1.4,17.86,13.4,-10.6,Sample
2/5/2020 16:10,20,31.5,1.4,17.67,13.6,-10.6,Sample
2/5/2020 16:11,19.9,31.9,1.5,17.39,13.3,-11,Sample
2/5/2020 16:12,20.1,31.9,1.3,17.29,13.6,-10.9,Sample
2/5/2020 16:13,20.2,31.7,1.3,17.21,13.3,-11.2,Sample
2/5/2020 16:14,19.5,32.3,1.4,17.18,13.5,-11.1,Sample
2/5/2020 16:15,20.2,31.7,1.2,17.11,13.6,-11.1,Sample
2/5/2020 16:16,20.2,31.6,1.3,17.1,13.9,-10.8,Sample
2/5/2020 16:17,19.5,32.2,1.4,16.99,13.2,-11.5,Sample
2/5/2020 16:18,18.6,33.1,1.4,16.87,13.4,-11.4,Sample
2/5/2020 16:19,19.8,32,1.5,16.8,13.4,-11.4,Sample
2/5/2020 16:20,21.3,30.6,1.5,16.79,13.6,-11.2,Sample
2/5/2020 16:21,20.5,31.1,1.5,16.8,13.3,-11.5,Sample
2/5/2020 16:22,19.4,31.9,1.4,16.84,13.7,-11.1,Sample
2/5/2020 16:23,19.4,31.8,1.5,16.78,13.4,-11.5,Sample
2/5/2020 16:24,19.1,32.1,1.5,16.63,13.3,-11.7,Sample
2/5/2020 16:25,20.6,31.2,1.6,16.5,13.5,-11.6,Sample
2/5/2020 16:26,21.9,30.6,1.5,16.4,13.6,-11.6,Sample
2/5/2020 16:27,22.4,30.1,1.7,16.4,13.7,-11.5,Sample
2/5/2020 16:28,22.3,29.8,1.6,16.4,13.5,-11.7,Sample
2/5/2020 16:29,22.1,29.9,1.5,16.48,14.1,-11.1,Sample
2/5/2020 16:30,24,27.6,1.6,16.5,13.7,-11.4,Sample
2/5/2020 16:31,24.6,26.7,1.6,16.35,14.3,-11,Sample
2/5/2020 16:32,22.9,28.4,1.4,16.16,14.8,-10.7,Sample
2/5/2020 16:33,22.1,28.7,1.6,16.09,14.5,-11,Sample
2/5/2020 16:34,21.5,29,1.7,16,14.9,-10.8,Sample
2/5/2020 16:35,22.8,27.9,1.7,15.91,15.5,-10.4,Sample
2/5/2020 16:36,24.6,26.1,1.7,15.81,15.3,-10.5,Sample
2/5/2020 16:37,21.7,28.5,1.7,15.8,16.5,-9.6,Sample
2/5/2020 16:38,24.1,26.3,1.7,15.75,16.5,-9.6,Sample
2/5/2020 16:39,24.4,25.7,1.8,15.71,16.3,-9.9,Sample
2/5/2020 16:40,23.9,25.9,1.7,15.62,16.3,-10,Sample
2/5/2020 16:41,23.4,26.1,1.7,15.61,16.6,-9.7,Sample
2/5/2020 16:42,22,27.1,2.1,15.55,16.2,-10.1,Sample
2/5/2020 16:43,21.9,27.1,2,15.43,16.6,-9.8,Sample
2/5/2020 16:44,21.4,27.9,1.8,15.36,17.2,-9.5,Sample
2/5/2020 16:45,22.3,27.4,2,15.3,17.7,-9.2,Sample
2/5/2020 16:46,21.3,28.4,1.8,15.21,17.5,-9.4,Sample
2/5/2020 16:47,23.4,26.1,2,15.13,17.7,-9.3,Sample
2/5/2020 16:48,22.4,26.8,2,15.02,17.5,-9.5,Sample
2/5/2020 16:49,22.2,27,1.9,14.98,17.5,-9.5,Sample
2/5/2020 16:50,28.1,22,1.7,14.9,17.4,-9.7,Sample
2/5/2020 16:51,27.8,22.4,1.8,14.86,17.6,-9.6,Sample
2/5/2020 16:52,25.6,24.5,2,14.8,17.5,-9.7,Sample
2/5/2020 16:53,23.1,26.7,2.1,14.71,17.7,-9.7,Sample
2/5/2020 16:54,23.5,26.6,2,14.63,18.2,-9.4,Sample
2/5/2020 16:55,24.1,26.4,2.1,14.54,18.4,-9.3,Sample
2/5/2020 16:56,24.5,26.1,2.1,14.44,18.3,-9.5,Sample
2/5/2020 16:57,24,26,2.4,14.39,18.5,-9.3,Sample
2/5/2020 16:58,23.7,26.3,2.3,14.29,19,-9,Sample
2/5/2020 16:59,44.3,7.7,2.5,14.25,19.2,-8.9,Sample
2/5/2020 17:00,30.2,20.3,2.3,14.22,19.7,-8.6,Sample
2/5/2020 17:01,25,24.9,2.4,14.2,19.5,-8.8,Sample
2/5/2020 17:02,25.7,23.5,2.3,14.2,20.1,-8.4,Sample
2/5/2020 17:03,26.7,22,2.3,14.2,20.2,-8.4,Sample
2/5/2020 17:04,26,22.9,2.5,14.11,20.1,-8.5,Sample
2/5/2020 17:05,25.8,23.7,2.3,14.01,20.3,-8.5,Sample
2/5/2020 17:06,27.4,22.2,2.5,14,20.5,-8.4,Sample
2/5/2020 17:07,28.1,21,2.2,14,20,-8.6,Sample
2/5/2020 17:08,29.5,19.4,2.4,14,21.4,-7.8,Sample
2/5/2020 17:09,29.6,18.7,2.2,14,21.2,-7.9,Sample
2/5/2020 17:10,27.3,20.2,2.5,13.94,22.2,-7.3,Sample
2/5/2020 17:11,24.8,22.9,2.2,13.83,22,-7.6,Sample
2/5/2020 17:12,23.6,24.5,2.5,13.76,22.4,-7.4,Sample
2/5/2020 17:13,24.6,23.7,2.5,13.7,22.5,-7.4,Sample
2/5/2020 17:14,26.2,22.4,2.4,13.69,23,-7.1,Sample
2/5/2020 17:15,27,22.1,2.5,13.62,22.8,-7.3,Sample
2/5/2020 17:16,28.4,20.2,2.5,13.6,23.1,-7.1,Sample
2/5/2020 17:17,27.3,20.9,2.5,13.59,23.4,-7,Sample
2/5/2020 17:18,25.4,22.6,2.3,13.51,23.3,-7.1,Sample
2/5/2020 17:19,26.2,21.6,2.5,13.49,24,-6.7,Sample
2/5/2020 17:20,26,22.1,2.4,13.42,24,-6.8,Sample
2/5/2020 17:21,25.4,22.8,2.5,13.4,24.1,-6.8,Sample
2/5/2020 17:22,27.2,21.6,2.4,13.36,24.5,-6.6,Sample
2/5/2020 17:23,31.1,18.1,2.3,13.31,24.4,-6.7,Sample
2/5/2020 17:24,27.3,21.4,2.2,13.29,24.8,-6.5,Sample
2/5/2020 17:25,26,22.6,2.4,13.2,25.1,-6.4,Sample
2/5/2020 17:26,26.9,21.5,2.2,13.2,25.6,-6.1,Sample
